"Food code (level 2)","Food name (level 2)","Country ","Country code","Retail waste","Consumer waste"
"A.12.08","Mixed fruit and vegetable juice","Spain","ES",0.1,0.19
"A.13","Non-alcoholic beverages (excepting milk based beverages)","Spain","ES",0.01,0.04
"A.13.01","Soft drinks","Spain","ES",0.01,0.04
"A.13.02","Tea (Infusion)","Spain","ES",0.01,0.04
"A.13.03","Coffee (Beverage)","Spain","ES",0.01,0.04
"A.13.04","Coffee imitates beverage","Spain","ES",0.01,0.04
"A.13.05","Cocoa beverage","Spain","ES",0.01,0.04
"A.14","Alcoholic beverages","Spain","ES",0.01,0.04
"A.14.01","Beer and beer-like beverage","Spain","ES",0.01,0.04
"A.14.02","Wine","Spain","ES",0.01,0.04
"A.14.03","Fortified and liqueur wines (e.g. Vermouth, Sherry, Madeira)","Spain","ES",0.01,0.04
"A.14.04","Wine-like drinks (e.g. Cider, Perry)","Spain","ES",0.01,0.04
"A.14.05","Liqueur","Spain","ES",0.01,0.04
"A.14.06","Spirits","Spain","ES",0.01,0.04
"A.14.07","Alcoholic mixed drinks","Spain","ES",0.01,0.04
"A.15","Drinking water (water without any additives except carbon dioxide; includes water ice for consumption)","Spain","ES",0,0
"A.15.01","Tap water","Spain","ES",0,0
"A.15.02","Well water","Spain","ES",0,0
"A.15.03","Bottled water","Spain","ES",0,0
"A.15.04","Water ice (for consumption)","Spain","ES",0,0
"A.16","Herbs, spices and condiments","Spain","ES",0.01,0.04
"A.16.01","Herbs","Spain","ES",0.01,0.04
"A.16.02","Spices","Spain","ES",0.01,0.04
"A.16.03","Herb and spice mixtures","Spain","ES",0.01,0.04
"A.16.04","Seasoning or extracts","Spain","ES",0.01,0.04
"A.16.05","Condiment","Spain","ES",0.01,0.04
"A.16.06","Dressing","Spain","ES",0.01,0.04
"A.16.07","Chutney and pickles","Spain","ES",0.01,0.04
"A.16.08","Savoury sauces","Spain","ES",0.01,0.04
"A.16.09","Flavourings or essences","Spain","ES",0.01,0.04
"A.16.10","Baking ingredients","Spain","ES",0.01,0.04
"A.17","Food for infants and small children","Spain","ES",0.04,0.11
"A.17.01","Infant formulae, powder","Spain","ES",0.04,0.11
"A.17.02","Infant formulae, liquid","Spain","ES",0.04,0.11
"A.17.03","Follow-on formulae, powder","Spain","ES",0.04,0.11
"A.17.04","Follow-on formulae, liquid","Spain","ES",0.04,0.11
"A.17.05","Cereal-based food for infants and young children","Spain","ES",0.04,0.11
"A.17.06","Ready-to-eat meal for infants and young children","Spain","ES",0.04,0.11
"A.17.07","Yoghurt, cheese and milk-based dessert for infants and young children","Spain","ES",0.005,0.07
"A.17.08","Fruit juice and herbal tea for infants and young children","Spain","ES",0.01,0.04
"A.18","Products for special nutritional use","Spain","ES",0.04,0.11
"A.18.01","Food for weight reduction","Spain","ES",0.04,0.11
"A.18.02","Dietary supplements","Spain","ES",0.04,0.11
"A.18.03","Food for sports people (labelled as such)","Spain","ES",0.04,0.11
"A.18.04","Dietetic food for diabetics (labelled as such)","Spain","ES",0.04,0.11
"A.18.05","Medical food (are specially formulated and intended for the dietary management of a disease that has distinctive nutritional needs that cannot be met by normal diet alone; intended to be used under medical supervision)","Spain","ES",0.04,0.11
"A.19","Composite food (including frozen products)","Spain","ES",0.04,0.11
"A.19.01","Cereal-based dishes","Spain","ES",0.04,0.11
"A.19.02","Rice-based meals","Spain","ES",0.04,0.11
"A.19.03","Potato based dishes","Spain","ES",0.04,0.11
"A.19.04","Beans-based meals","Spain","ES",0.04,0.11
"A.19.05","Meat-based meals","Spain","ES",0.04,0.11
"A.19.06","Fish and seafood based meals","Spain","ES",0.04,0.11
"A.19.07","Vegetable-based meals","Spain","ES",0.04,0.11
"A.19.08","Egg-based meal (e.g., omelette)","Spain","ES",0.04,0.11
"A.19.09","Mushroom-based meals","Spain","ES",0.04,0.11
"A.19.10","Ready to eat soups","Spain","ES",0.04,0.11
"A.19.11","Prepared salads","Spain","ES",0.04,0.11
"A.20","Snacks, desserts, and other foods","Spain","ES",0.04,0.11
"A.20.01","Snack food","Spain","ES",0.04,0.11
"A.20.02","Ices and desserts","Spain","ES",0.04,0.11
"A.20.03","Other foods (foods which cannot be included in any other group)","Spain","ES",0.04,0.11
"A.13.06","Energy drink","Spain","ES",0.01,0.04
